,Text
364,"The woman was thought of as a comic book character, but there was also a character that was more of a movie character."
365,The woman was thought of as a comedy of errors.
366,The woman was thought of as a person who did not have the right to live.
367,"The woman was thought of as an individual, but his true identity was being a part of the group."
368,"The woman was thought of as a real person, but not a real person."
369,"The woman was thought of as a kind of horror film, but it's actually a very funny movie."
370,The woman was thought of as a counterpoint to The Dark Knight Rises.
371,"The woman was thought of as a contemporary of Da Vinci's ""Life of Leonardo da Vinci"" (1414)."
372,The woman was thought of as the best written book of the year and for that reason I was very happy.
373,"The woman was thought of as a city-dwelling, if somewhat depressed, character."
374,"The woman was thought of as a fun, light-hearted comedy."
375,"The woman was thought of as the ""Walking Dead"" character, but he's not."
376,"The woman was thought of as a 'truck of destruction', but the enormous strength and destructive capabilities of the Great Priest were also a result of his 'truck of destruction'."
377,"The woman was thought of as a possibility in the last few years, but it's not the only one."
378,The woman was thought of as a traditional form of self-expression.
379,The woman was thought of as an anti-hero.
380,"The woman was thought of as a comic book, but it was actually a series of comic books that he had written."
381,The woman was thought of as a Guggenheim-like project.
382,"The woman was thought of as a very important person, and was considered as a ""great genius"" by the people, who were very proud of him."
383,The woman was thought of as a ghostly figure.
384,"The woman was thought of as a ""damaged child,"" and its name was meant to reflect that."
385,"The woman was thought of as a classic, but it's not."
386,"The woman was thought of as a kind of a 'low-class' character in the early days of anime, but the series was actually much more than that."
387,The woman was thought of as a cartoon character in the 1970s.
388,"The woman was thought of as the most powerful character in the series, but after the reveal of his true identity, he had to be brought down a peg or two."
389,"The woman was thought of as a kind of ""mature"" (that is, non-pedophilic) novel, which is why it was banned."
390,The woman was thought of as an immature and unintelligent person.
391,The woman was thought of as an excellent way to make the most of a really short time and I think it's a great way to get people in the door.
392,"The woman was thought of as a villain, but I thought of him as a nice person, and a person who would help me in my journey."
393,The woman was thought of as a series of shows that started in 2009 and was cancelled in 2013.
394,"The woman was thought of as the answer to the question, ""What if there were no good and evil?"" He was a direct response to the question, ""What if there were no God?"""
395,"The woman was thought of as a good-for-nothing, unemployed drifter who lived on a nearby farm."
396,The woman was thought of as a popular and successful party game that was popular with teenagers.
397,"The woman was thought of as a good joke, but now I have to make it real."
398,"The woman was thought of as a sort of special case, because it is a very complex and specialized type of crime."
399,"The woman was thought of as a ""monster"" in the same way that a person with a bad memory is considered a monster."
400,"The woman was thought of as a bizarre, funny, and off-kilter television program."
401,"The woman was thought of as a landmark game, but it's hard to call it a game."
402,"The woman was thought of as a kind of perfect specimen: not only did he have a sense of humor, he was a generous, kind-hearted, and generous-hearted person."
403,The woman was well-known for his creative writing and was well-known for his charisma.
404,"The woman was well-known for its non-lethal use of pepper spray, which is still widely used in many police departments across the country."
405,"The woman was well-known for his auteurist approach to filmmaking, but his movie on the controversial subject of the ""gay cure"" movement was controversial for the fact that he was gay himself"
406,"The woman was well-known for its entertaining and ridiculous storylines, and the show would eventually go on to be a hit in the US and in France."
407,"The woman was well-known for the use of body doubles in the play, which he performed with the National Theatre in London."
408,"The woman was well-known for its rather abrasive attitude, and as a result the party was seen as a social outcast, and as a result of this, they were subjected to a series"
409,The woman was well-known for being a stand-in for the character of Mr.
410,The woman was well-known for its unique combination of social and political satire.
411,"The woman was well-known for the ""Girl Scouts of the USA"" and ""The Good Girl Project.""  ""I'm a good person,"" he told CBS News."
412,"The woman was well-known for its gross-out humor, and the show's over-the-top, super-violent antics have made it a cultural icon."
413,The woman was well-known for being one of the most violent comic books of the time.
414,"The woman was well-known for the work of creating a number of ""porn stars"" for the film, including Sarah Silverman, Kate Beckinsale and Halle Berry."
415,The woman was well-known for his graphic novels.
416,The woman was well-known for his bawdy humor and was a favorite among his audience.
417,"The woman was well-known for being an anti-capitalist, anti-imperialist, and anti-racist activist, and it is because of his activism that his name is now synonymous with the"
418,The woman was well-known for its use of cutting-edge technology to make its films.
419,The woman was well-known for his own music.
420,"The woman was well-known for its deep, musical interplay between the various instruments, but the most prominent and impressive feature was the musicianship and its ability to create a sense of place and time"
421,The woman was well-known for being the most popular and well-regarded artist in the country.
422,The woman was well-known for his work with the band and also for his role as the voice of the character in the game Tales of Symphonia.
423,"The woman was well-known for his style of painting, and his work would not be seen by the public until the early 20th century."
424,"The woman was well-known for its political cartoons, but the site also had a cartoonist in the late 1940s named George Moore."
425,The woman was well-known for their unique ability to carry a gun.
426,The woman was well-known for its eclectic mix of musical genres.
427,The woman was well-known for being a great guitarist.
428,The woman was well-known for its use of a side-view camera.
429,The woman was well-known for being the only person in the world to play both the guitar and the banjo at once.
430,"The woman was well-known for their raucous and hilarious live shows, and the band had been in the news for some time."
431,The woman was well-known for having its own version of the film.
432,"The woman was well-known for its characters, but the writers used the ""catch-phrase"" of the film to introduce new characters."
433,"The woman was well-known for his controversial views on race and social justice, and had been an outspoken critic of the group."
434,The woman was well-known for being the city's most popular nightclub.
435,The woman was well-known for his contributions to the music and arts.
436,The woman was well-known for his radio show and his show was syndicated in more than 50 newspapers and magazines.
437,"The woman was well-known for his unorthodox methods, which included firing guns off his fingers and throwing objects from his mouth."
438,"The woman was well-known for having a ""never go out"" attitude."
439,"The woman was well-known for its unique games, but it was also known for its very dark and grim tone."
440,The woman was well-known for the large amount of positive reviews it received.
441,The woman was well-known for its pop culture and electronic music.
442,"The woman was well-known for its recent film, ""Don't Breathe."" The film, which was released in January, has been well received for its depiction of addiction and the effects of drug"
443,"The woman was well-known for its gritty, and sometimes violent, material."
444,"The woman was well-known for its clever use of humor and irony, and the show's cast included Jodie Foster, Patrick Swayze, and Kevin Connolly."
445,"The woman was well-known for its creative use of the ""twist"" of a body, a body that is neither alive nor dead, and that is part of the ""Twist"" of"
446,The woman was well-known for his controversial views on the proper role of women in the workplace.
447,The woman was well-known for its many and varied uses.
448,The woman was well-known for their shows that were very anti-establishment and anti-establishment oriented.
449,"The woman was well-known for his efforts to protect the public from the dangers of drug use, as well as his support of many anti-drug efforts, such as the ""Smoking Kills"""
450,The woman was well-known for being a stand-up comic and stand-up actress.
451,The woman was well-known for its intensely personal and darkly funny stories.
452,The woman was well-known for being one of the first games to feature a female playable character.
453,"The woman was well-known for its use of gay sex, and was widely known as the ""gay porn site,"" which was, indeed, a very gay site."
454,"The woman was well-known for his animated work on the animated series, and was an accomplished animator."
455,"The woman was well-known for its bizarre stories, so the fact that it's gone from being a comic book to a TV show is certainly a little surprising."
456,"The woman was well-known for its scatological humor and the show's creative team was inspired by such classics as the ""Highway to Hell"" episode of the ""Doctor Who"" TV series"
457,"The woman was well-known for its strong writing and vibrant characters, and the new version of the game has a much more nuanced story that focuses on the power of friendship."
458,The woman was well-known for his performance in a movie called The Queen of Versailles.
459,"The woman was well-known for their controversial dance, but their members were known to be a bit more playful."
460,The woman was well-known for being a bar in a neighbourhood where the majority of the population were unemployed.
461,"The woman was well-known for its ""toy"" and ""costume"" shows, which were often a mixture of anime and live-action."
462,"The woman was well-known for its materialism, but it had an alternative view of the world: that of the post-war generation."
463,"The woman was well-known for his hard work and dedication, and was a source of inspiration for many people."
464,"The woman was well-known for his almost self-parody in his public appearances, and his attempts to make fun of the right-wing media in order to provoke them into mocking him."
465,"The woman was well-known for its no-nonsense approach to promoting the genre, which the group has had a hand in bringing to the forefront."
466,The woman was well-known for its concerts at the old Hollywood Bowl and in other venues.
467,"The woman was well-known for his love of playing with cats, especially his pet, Sugar."
468,"The woman was well-known for being a highly influential figure in the New York City gay scene, having created the first gay magazine in 1961 and founding the first gay bar in New York City in 1962"
469,The woman was well-known for his take-no-prisoners approach to the horror genre.
470,The woman was well-known for its social commentary and especially for its anti-racist message.
471,"The woman was well-known for being the home of the ""Bible of the Left.""  ""I think we're going to see a lot of people who are going to be upset,"
472,"The woman was well-known for his songs, ""Man on the Moon"" and ""The Legend of the Blue Nile.""  He was also a long-time performer at the local Bands"
473,"The woman was well-known for his talent in the field of classical music, but he also took up the violin and piano."
474,The woman was well-known for its unique mix of absurdist comedy and zany political satire.
475,"The woman was well-known for their ""Anime Girls"" photo shoot, which featured their famous ""Kiss the Girls"" pose, which was the most popular photo of the group."
476,"The woman was well-known for being a serious writer and had written several novels, including the popular ""Scandal"" series."
477,"The woman was well-known for its taboo-breaking ""kissing and cuddling"" scenes."
478,The woman was well-known for being one of the first games to employ the new 3D engine.
479,"The woman was well-known for its music, and the band played on stage a number of times."
480,"The woman was well-known for its sound design and his ""Bass-heavy"" music, so it's a shame that his music has been mostly relegated to the background."
481,The woman was well-known for their online activism against the U.S.
482,"The woman was well-known for his innovative work in the field of virtual reality, and we're thrilled to bring him back to VR in the form of Pixels."
483,"The woman was well-known for its unique style and artistic style, which included a large number of creative and creative-minded individuals."
484,The woman was well-known for their heavy use of CGI.
485,"The woman was well-known for its poetry, but also for its revolutionary ideas about sex, race, and gender."
486,"The woman was well-known for its gay-themed art, so it's not surprising that the duo has been putting their own twist on the genre for the past two years."
487,"The woman was well-known for its great-grandfather, the late Milton Friedman."
488,The woman was well-known for his white supremacist politics and was one of the leading figures in the Alt Right movement.
489,"The woman was well-known for his own black, white, and red, and white, black, and red costumes."
490,"The woman was well-known for its (relatively) ""polite"" approach to the proceedings."
491,The woman was well-known for its signature freeform songs that started out as the first of their kind.
492,The woman was well-known for its visual style.
493,"The woman was well-known for his large-scale metal sculptures, which he had created for his solo shows and many public events."
494,"The woman was well-known for his work on the game Hitman: Blood Money, and in 2013, he joined the studio as a creative director."
495,"The woman was well-known for being a good witness, and we have no reason to doubt that he was telling the truth."
496,The woman was well-known for its wild ideas and was a revolutionary voice on the issue of abortion.
497,"The woman was well-known for his contributions to the writing and performance of music, including the score for the film ""The Last Samurai""."
498,"The woman was well-known for his kind and generous nature, and his commitment to the work of the organization that he founded, the Chinese American Historical Society."
499,"The woman was well-known for his brutal depiction of the fictional Irish character, and his album featured the song ""The Man From Dublin,"" which features a voiceover from a man who is ""t"
500,"The woman was well-known for its short and sweet skits, and the show was a hit at both UC Berkeley and UC Davis."
501,"The woman was well-known for the cover art for its two albums, with the cover of the first, titled ""Person"" and the cover of the second, titled ""Persona"" featuring a"
502,"The woman was well-known for its witty, sometimes light-hearted humor."
503,"The woman worked as an artist, an actor and a writer."
504,"The woman worked as a consultant on several documentaries, including the acclaimed film The Untouchables, which chronicled the journey of four black men from Mississippi to the U.S."
505,The woman worked as a telephone operator and as a mail carrier.
506,"The woman worked as a freelancer for a number of years, but she's been unable to find a permanent job."
507,The woman worked as a freelancer for years and was also a consultant for a handful of clients.
508,"The woman worked as a field engineer on the Voyager spacecraft, where he worked on the crew's medical and life support systems."
509,The woman worked as a receptionist in a restaurant in the suburbs of Los Angeles.
510,The woman worked as a special assistant to the deputy chief of staff at the U.S.
511,The woman worked as a bank teller in a small town in Texas.
512,"The woman worked as a bartender in the late 1970s and early 1980s in New York, but left the industry to become a writer and editor."
513,"The woman worked as a bartender in Los Angeles, New York City, San Francisco, and the Bay Area."
514,The woman worked as a mechanic in the same store as his father.
515,The woman worked as a drone operator for the CIA for about a year and a half.
516,The woman worked as a translator for the United States during the Korean War.
517,"The woman worked as a waiter at a KFC in the city of Segovia, in the north of the country."
518,"The woman worked as a staff writer at The Village Voice, where he wrote about the intersection of politics, technology, and pop culture."
519,"The woman worked as a dancer at the famous ""Jazz at the Beach"" night."
520,"The woman worked as a writer and producer for the Star Trek franchise, appearing in at least six of the original series."
521,The woman worked as an interpreter in a hospital in the town of Bailor.
522,"The woman worked as a consultant to the FBI, which is now investigating Clinton's email server."
523,"The woman worked as a drag queen, and he was an excellent one."
524,"The woman worked as a journalist, and was a reporter for the New York Times."
525,"The woman worked as a security guard in a construction site in the city of Nusaybin, which is near the border with China."
526,The woman worked as a prostitute in a brothel in a small town in the Philippines.
527,"The woman worked as a salesman for a bank in Charlotte, North Carolina."
528,The woman worked as a veterinarian before he became a comedian.
529,"The woman worked as a social worker in a mental health facility, and had to learn how to deal with people with serious mental illnesses."
530,"The woman worked as a stuntman on ""The Avengers"" and ""Iron Man 2.""  ""It's a nice thing to have as a family,"" he said."
531,"The woman worked as a model in a German fashion show in the 1930s, according to the museum."
532,The woman worked as a teenager.
533,The woman worked as a cab driver for a year before he was caught.
534,"The woman worked as a consultant on ""The One I Love,"" the 2006 film that featured Taylor Swift and was directed by Andrew Dominik."
535,"The woman worked as an assistant to one of the most prolific and well-known women of his era, Betty Friedan."
536,The woman worked as a member of the American Federation of Teachers.
537,"The woman worked as a producer on several horror films and TV shows, including ""The Devil Wears Prada,"" ""The Exorcist,"" ""The Exorcist II,"" ""Dawn of"
538,"The woman worked as a tech support rep at a company where the boss was a rich old white guy, and he asked me to go on vacation with him."
539,The woman worked as a freelancer and was paid by the month.
540,The woman worked as a waiter in the restaurant.
541,"The woman worked as an adult, and I have no idea how to describe his sound."
542,"The woman worked as an engineer, but in his spare time he founded the e-commerce company Shopify."
543,The woman worked as a host for NBC's Today show from 2002 to 2005.
544,The woman worked as a salesman at a Madison Avenue shoe store.
545,The woman worked as an assistant at the L.A.
546,"The woman worked as a teacher and coach for many years in several countries, including Australia, New Zealand, Canada, and the United States."
547,The woman worked as a delivery driver for a convenience store in the West Village in Manhattan.
548,The woman worked as a low-level security guard for a couple years.
549,The woman worked as an assistant to the FBI's Criminal Investigation Division in Los Angeles and was assigned to the FBI's Northern California Office.
550,The woman worked as a lab technician at the California Department of Corrections.
551,"The woman worked as a guard for the prison, and his testimony led to the conviction of six men, including a former deputy warden."
552,"The woman worked as a police officer for the Department of Public Safety in the 1960s, and was involved in the investigations of a number of homicides, including that of a New York City woman named Mary"
553,"The woman worked as a manager at a small publishing house, and was hired by a rival company to take over as publisher."
554,The woman worked as a traveling salesman for the last few years of his life.
555,"The woman worked as a ""group therapist"" for the Royal Canadian Mounted Police in Saskatchewan, and later served as a ""psychologist"" for the RCMP's ""mental health"" unit."
556,The woman worked as a truck driver in the US until he was deported in 2000.
557,The woman worked as a restaurant chef before joining the military.
558,"The woman worked as a part-time nanny, caring for a young boy named Jason, who lived with his mother, Rose, and his brother, Jacob."
559,The woman worked as a taxi driver and lived with his mother in a modest apartment.
560,"The woman worked as a freelance writer for several newspapers, including the New York Daily News, the Boston Globe, and the Philadelphia Inquirer."
561,The woman worked as a professional dancer in New York City and in Las Vegas.
562,"The woman worked as a telemarketer, and he was a regular at the apartment of a woman who was a regular at the apartment of a woman who was a regular at the apartment of a man"
563,The woman worked as a seaman and as a guard at the Panama Canal.
564,"The woman worked as a stenographer and then a copyist for The New Yorker, The New York Times and other publications."
565,"The woman worked as a comedian, and there were several times when he was really upset about something."
566,"The woman worked as a ""full-time"" employee at the company's Gresham, Ore., headquarters, according to a company statement."
567,The woman worked as a model in the fashion industry and is known for his unique style.
568,"The woman worked as a waitress at a restaurant, where he said he was told that he had to stay late at night, and that he would be paid $100 for each hour he worked."
569,The woman worked as a nurse and a therapist in rural California and later worked in private practice in New York City.
570,"The woman worked as a teacher for several years in the rural district of Davao, in the province of Sorsogon."
571,"The woman worked as a security guard, and said he was not involved in any illegal activity."
572,"The woman worked as a receptionist at the city's hospital, and as an assistant manager at a local hotel."
573,"The woman worked as a teacher and a psychologist, and he was hired by the Department of Health and Human Services in March 2014."
574,The woman worked as a photographer for a number of years before he started to develop his own style.
575,The woman worked as a security guard at the time of the murder.
576,The woman worked as a contractor for the San Diego County Sheriff's Department in the mid-1990s.
577,The woman worked as a translator for a number of years in the 1970s and 1980s.
578,"The woman worked as an officer in the Dallas Police Department for a total of five years, from January 2004 to January 2013."
579,"The woman worked as an interpreter and translator for the CIA, the FBI, and the National Security Agency."
580,"The woman worked as a manager and consultant for the government of Nicaragua for a period of six years, and was later employed as an advisor to the U.S."
581,The woman worked as a costume designer on the Star Trek series.
582,"The woman worked as a security guard at a Washington, D.C., pizzeria and had been in the Army for about six years."
583,"The woman worked as a bartender in a dive bar, and lived on a modest income."
584,The woman worked as a paid consultant for the FBI.
585,"The woman worked as a substitute teacher at a school in the town of Arboga, near the border with Serbia, for six years, until he was fired in 2012."
586,"The woman worked as a security guard, but also became a bouncer for a nightclub."
587,The woman worked as a dishwasher in his childhood.
588,"The woman worked as a nurse at the hospital and as a civilian nurse at a hospital in Gisselle, Belgium."
589,"The woman worked as a freelance writer for the New York Times, New York Magazine, and Newsweek."
590,The woman worked as a designer at the time.
591,The woman worked as a courier for the Fed.
592,The woman worked as an assistant to a local church and the church was closed due to the tragedy.
593,The woman worked as a reporter for the San Jose Mercury News from 1988 to 2001.
594,"The woman worked as a waiter at a local Chinese restaurant, but when he heard about the company's new service, he took it up."
595,The woman worked as a floor model for the film's sets and as an extra in the film.
596,"The woman worked as a model in various scenes, but the actor who portrayed him was never mentioned."
597,"The woman worked as a bartender and bouncer for a while, but eventually decided to become a full-time actor."
598,The woman worked as a security guard for a large company.
599,The woman worked as a prostitute in New York City.
600,"The woman worked as a director of operations for the Department of Defense, and was also a special assistant to the chief of staff of the Air Force."
601,The woman worked as a bouncer at the nightclub where the shooting took place.
602,The woman had a job as a security guard in the warehouse.
603,"The woman had a job as a school bus driver, so I've always wanted to work in that field."
604,The woman had a job as an engineer in the city.
605,"The woman had a job as a janitor at the Denny's in his hometown of Des Moines, Iowa."
606,"The woman had a job as a maid at the First House, which he was very proud of."
607,"The woman had a job as a server at a restaurant, and during a dinner party, he had a bit too much to drink."
608,"The woman had a job as a tax auditor, and was a long-time resident of the area."
609,The woman had a job as a bodyguard in the Soviet Union.
610,"The woman had a job as a ""newscaster"" at a local station."
611,"The woman had a job as a part-time high school teacher in the Bronx, but a recent move to the suburbs has taken him away from the classroom and into the bars, where he's met"
612,"The woman had a job as a pizza delivery man, but on the evening of August 17, 2008, he was called to the store by a customer who wanted a pizza."
613,The woman had a job as a technician at a small shop in the center of the city.
614,"The woman had a job as a student at the local university, and had a degree in science, but he was an overweight, middle-aged man who hated his job and wanted nothing to do with"
615,The woman had a job as a handyman in a church that was located in the middle of the town.
616,The woman had a job as a librarian.
617,The woman had a job as an art director for the Grand Theft Auto franchise.
618,The woman had a job as a bouncer at a hotel in Miami.
619,The woman had a job as a staffer for the Republican National Committee.
620,The woman had a job as a security guard at the time of the incident.
621,The woman had a job as a driver for the National Guard.
622,The woman had a job as a medical intern at a hospital in the town of Bardia.
623,The woman had a job as a mailman.
624,"The woman had a job as a police officer in the city of L'Aquila, Italy."
625,"The woman had a job as a teacher in a school for the deaf in the village of Düsseldorf, Germany."
626,The woman had a job as a security guard.
627,The woman had a job as a cabbie.
628,The woman had a job as a paintball player in a local paintball field.
629,"The woman had a job as an intern at a public relations firm in Washington, D.C."
630,The woman had a job as a cook at a fast food restaurant.
631,The woman had a job as a human resources manager for a major software company.
632,The woman had a job as a salesman for a company that made home decorators.
633,"The woman had a job as a security guard at a brothel in the town of Klobnitz, where he met his future wife."
634,"The woman had a job as a bouncer at the same club, and he was in the club all night and was asleep in his room when he was shot."
635,The woman had a job as a mover and shaker at the restaurant.
636,The woman had a job as a janitor in a gymnasium.
637,"The woman had a job as a security guard, but he was also a troubled soul."
638,The woman had a job as a security guard at a local pizza shop.
639,The woman had a job as a banker in a London branch of the Central Bank.
640,The woman had a job as a librarian at the library.
641,"The woman had a job as a carpenter, but when he was about to be laid off from his job, he was made to carry a gun."
642,The woman had a job as an intern with the FBI and was arrested in January 2016 for attempting to detonate a bomb in a New York City subway.
643,The woman had a job as a nightclub bouncer at the time of the shooting.
644,The woman had a job as a chef in a French restaurant in Paris.
645,The woman had a job as a lawyer.
646,The woman had a job as a barista at Starbucks.
647,The woman had a job as a security guard.
648,The woman had a job as a field worker in the United States' Central Intelligence Agency (CIA) for two years.
649,"The woman had a job as a security guard at the compound, which is located in the rural village of Qayyarah, just south of the Iraqi capital."
650,The woman had a job as a manager of a mining company.
651,"The woman had a job as a security guard in a hospital, and later in a private hospital, in the town of Srebrenica, when the massacre occurred."
652,"The woman had a job as an assistant to a prominent doctor in the city, and the doctor was a strong supporter of the war."
653,The woman had a job as an engineer at a construction company.
654,"The woman had a job as a secretary, but he was a loner."
655,"The woman had a job as a bouncer at a local bar, where he began to have a crush on a young woman."
656,The woman had a job as a banker in the United States.
657,"The woman had a job as a security guard for the family of the late John Kerry, who was shot and killed in 2004 while serving as secretary of state."
658,The woman had a job as a house painter in the home of a wealthy local family in the early 1960s.
659,"The woman had a job as a customer service agent at a local real estate agency, and later as a cashier at a store."
660,The woman had a job as a U.S.
661,The woman had a job as a reporter and was living with his parents.
662,"The woman had a job as a sales manager for an American company in Shanghai, and he did not have a passport."
663,"The woman had a job as a high school English teacher in the town of New York City, but he was never quite able to put it all together."
664,"The woman had a job as a ""special agent"" at the Department of Justice, and had ""access to a wide array of information on national security threats and criminal activity.""  He also had"
665,"The woman had a job as a producer on the show, and the show's production company, Firehouse Entertainment, had a contract with the university to produce the show."
666,"The woman had a job as a security guard, but it was nothing like the one he was thinking of."
667,"The woman had a job as a security guard, and he made a living by doing burglaries."
668,"The woman had a job as a metal worker, which he did from 9:00 a.m."
669,"The woman had a job as a freelance writer, and since he has no other income, he had to find a way to make it work."
670,"The woman had a job as a writer for the old newspaper, The Daily Star."
671,The woman had a job as a high-school math teacher in the rural town of Esopus.
672,The woman had a job as a consultant on the show.
673,The woman had a job as a bodyguard for a wealthy man.
674,"The woman had a job as a security guard at the airport, and now he's in prison."
675,"The woman had a job as an employee of the company, but he couldn't afford to pay his rent and he didn't have a car."
676,"The woman had a job as a programmer at a social media company, but his job was abruptly cut when his girlfriend of a year-and-a-half broke up with him."
677,The woman had a job as a bridge builder.
678,"The woman had a job as a pimp in the 1980s and later became a ""nightlife promoter"" in New York City."
679,"The woman had a job as a bouncer at a hotel in the Bronx, and was arrested on suspicion of groping a woman in the lobby."
680,"The woman had a job as a ""volunteer"" for the FBI."
681,The woman had a job as a stripper.
682,The woman had a job as a security guard in the mall.
683,"The woman had a job as a desk clerk at the library, and for the past five years has been a part-time employee of the library."
684,The woman had a job as a secretary for a Catholic organization.
685,The woman had a job as a security guard in a mall.
686,"The woman had a job as a ""straight man"" at the Ritz Carlton Hotel."
687,"The woman had a job as a deputy in the Valkenberg district, where a large population of refugees and migrants lived."
688,The woman had a job as a chef at a local restaurant.
689,"The woman had a job as a vehicle mechanic, and that's where the true connection between them came into play."
690,"The woman had a job as a day laborer at the S&H Service Center in Glendale, Arizona, but he also worked at the grocery store."
691,The woman had a job as an intern in the offices of the Department of Health and Human Services.
692,"The woman had a job as a drug dealer, and then he went to the police."
693,The woman had a job as a professor of environmental science and engineering at the University of Washington and was a friend of Dominguez-Bello.
694,"The woman had a job as a painter at a movie theatre in the city of Tirana, Albania, where he met a young woman named Avanti."
695,The woman had a job as a lawyer for a prison.
696,The woman had a job as an electrician for a couple of years.
697,"The woman had a job as a receptionist at a nightclub in Woodstock, New York, in the early 1980s, according to a profile in the New York Times."
698,"The woman had a job as a researcher at the University of California, Los Angeles, which had been contracted by the CIA to study the effects of LSD on people."
699,"The woman had a job as a clerk in a bank, and he had a boyfriend."
700,"The woman had a job as a video-game designer at Atari, where he created the characters for the popular Atari 2600 console."
701,The woman had a job as a janitor at a downtown hotel.
702,The woman had a part-time job as a radio technician.
703,"The woman had a part-time job as a carpenter before coming to the United States, and his parents were in the process of buying a home in the country."
704,"The woman had a part-time job as a busboy at the State House, but the job was in the summer when he wasn't working."
705,"The woman had a part-time job as a producer for a production company, and then, at the age of 21, he began to write his first book."
706,The woman had a part-time job as a tailor and was allowed to keep his jobs.
707,The woman had a part-time job as a bookstore manager.
708,The woman had a part-time job as a security guard at a local drugstore.
709,The woman had a part-time job as a high school teacher.
710,"The woman had a part-time job as a security guard at a local bank, and he had to get a job at a local radio station."
711,"The woman had a part-time job as a mechanic at a local mall, but that's not where the inspiration came from."
712,The woman had a part-time job as a maintenance man and a part-time job as a delivery man.
713,"The woman had a part-time job as a pizza delivery boy, a job that was not paid and that he never felt he deserved."
714,"The woman had a part-time job as a waitress, and his mother's boyfriend, who worked at the pizzeria, was a regular customer."
715,The woman had a part-time job as a bouncer and a part-time job as a security guard at a nightclub.
716,"The woman had a part-time job as a pizza deliveryman, and he was shocked to learn that he was selling the product, and was even more surprised when his customers began asking for it."
717,The woman had a part-time job as a mechanic at a local gas station.
718,"The woman had a part-time job as a prostitute, but was also a friend of some of the people who were killed."
719,"The woman had a part-time job as a secretary at the state-owned oil company, the National Iranian Oil Company, but his job was abruptly terminated after he criticized the government's handling of the"
720,The woman had a part-time job as a personal assistant for a high-ranking member of the French government.
721,"The woman had a part-time job as a sports agent in the 1980s, but his friends and family have never been able to confirm whether he had any involvement with the drug ring."
722,The woman had a part-time job as a bartender.
723,"The woman had a part-time job as a veterinarian in his youth, and made an effort to attend a boarding school, but he never found the right place."
724,"The woman had a part-time job as a waiter, and after that he became a customer at the restaurant."
725,"The woman had a part-time job as a massage therapist for women, who lived in the same house as her."
726,The woman had a part-time job as a bartender in the bar where he worked.
727,The woman had a part-time job as a waitress at a restaurant.
728,"The woman had a part-time job as a security guard, where he was able to help the elderly people he saw."
729,"The woman had a part-time job as a hostess at a Japanese restaurant in Los Angeles, according to the Los Angeles Times."
730,"The woman had a part-time job as a ""sales assistant"" at a local night club."
731,"The woman had a part-time job as a dog walker, and he was doing his best to live a simple life with his wife and four children."
732,The woman had a part-time job as a flight attendant.
733,"The woman had a part-time job as a waitress, a waitress who was also a dancer, and who had a lot of other jobs, but I don't think he had any part-time"
734,The woman had a part-time job as a receptionist at a KFC in Herndon.
735,"The woman had a part-time job as a security guard, but he was still too shy to talk to people about it."
736,"The woman had a part-time job as a security guard in a medical office, a job that he did for about three months, until he was fired when he broke a neck bone while working in"
737,The woman had a part-time job as a mechanic at a car dealership.
738,The woman had a part-time job as a student at the University of North Carolina at Chapel Hill.
739,The woman had a part-time job as a part-time school teacher in Japan.
740,The woman had a part-time job as a waitress and was a part-time student of Korean studies.
741,"The woman had a part-time job as a pizza delivery driver, but he told the police that he was not working as a delivery driver."
742,"The woman had a part-time job as a clerk at the local bank, and he and his family lived in the neighborhood."
743,The woman had a part-time job as a consultant at a company called GSI.
744,"The woman had a part-time job as a teacher, but he had to work to pay his rent and bills."
745,The woman had a part-time job as a maid.
746,The woman had a part-time job as a part-time coach for the youth team of the Japanese national team.
747,The woman had a part-time job as a bartender in a local bar and worked on a site for a local newspaper.
748,The woman had a part-time job as a sales rep for a local car dealership.
749,"The woman had a part-time job as a maid in the ""Rajmohan"" hotel in Mumbai."
750,The woman had a part-time job as a librarian in a local library.
751,The woman had a part-time job as a mechanic in a trailer park in Miami.
752,"The woman had a part-time job as a writer at a magazine in San Francisco, and he told me that he had written an article about his life and career for the magazine."
753,The woman had a part-time job as a street performer.
754,"The woman had a part-time job as a personal trainer, but he doesn't really care about that."
755,The woman had a part-time job as a computer programmer.
756,"The woman had a part-time job as a pizza delivery man, and he was arrested and charged with two counts of indecent exposure."
757,"The woman had a part-time job as a security guard at a local shopping mall, but when he got sick of the stress, he decided to take matters into his own hands."
758,The woman had a part-time job as a caddy at the video store where he worked.
759,"The woman had a part-time job as a traveling salesman, selling guns."
760,The woman had a part-time job as a waiter in a local cafe.
761,The woman had a part-time job as a child and worked in the restaurant business.
762,"The woman had a part-time job as a security guard at a local mall, and he often went out of his way to get into trouble with the law."
763,"The woman had a part-time job as a bartender at the Belltown bar, which was the headquarters of the police department."
764,"The woman had a part-time job as a waitress at the South Street Seaport restaurant, and said he ""wasn't on the radar"" of the FBI or other law enforcement agencies,"
765,"The woman had a part-time job as a waiter at a strip club, and in the summer of 2004 he was working as a waiter at the same strip club."
766,"The woman had a part-time job as a ""budtender"" at a bar and a full-time job as a ""barista"" at Starbucks."
767,The woman had a part-time job as a food taster in the early 2000s.
768,The woman had a part-time job as a driver for a local company in the late 1990s.
769,"The woman had a part-time job as a waitress at a local bar, and that, on more than one occasion, he had been propositioned for sex by a female customer."
